"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","etas1","etas2","etas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc","var1cvgen","cilowmime","cihimime","cilowtilde","cihitilde","cilownaive","cihinaive","ciloworacle","cihioracle","cilowcvgen","cihicvgen","cicovmime","cicovtilde","cicovoracle","cicovcvgen"
"1","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.859981101946315,0.984317022690404,0.741030302578612,0.570417897460916,1.0317860401609,0.698595944981382,0.740915270309215,0.997287947418964,1.08602480798563,0.00543111661855353,0.00385067070346824,0.00165076806214139,0.00114553066514819,0.00288573583252749,0.00191699481299522,0.00357809123141519,0.92649671128927,1.13707536903252,0.862691628243177,1.10594241713763,0.674577719832631,0.807252820785799,0.917653842994274,1.07692205184365,0.968783197306634,1.20326641866462,1,1,1,1
"2","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.778300267081001,0.911278832479694,0.732567797006876,0.545399055904038,0.923828046089293,0.694655356910879,0.732697106025363,1.0384886509191,0.995186239164657,0.00545318985185925,0.00385725693638003,0.00158438478009577,0.00122857579814603,0.00269516992427347,0.00222305614808131,0.00347426272912556,0.822074595135092,1.02558149704349,0.789549467711789,1.0330081972476,0.663997056635586,0.80139715541514,0.96047216182086,1.11650514001734,0.879658200575712,1.1107142777536,1,1,1,1
"3","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.854380839588626,0.977320823605212,0.702667993219578,0.534842302439285,1.00489479026319,0.666953149172286,0.70264329204721,1.02078492053299,1.03873022349866,0.0041268821358863,0.0027077192964289,0.00125823634220318,0.00110132723446091,0.00282498164550504,0.00158781466486898,0.00317619394093659,0.900719699721486,1.10906988080489,0.875330753259314,1.07931089395111,0.637598240706582,0.767688343387839,0.951260531055567,1.0903093100104,0.928269069043793,1.14919137795353,1,1,1,1
"4","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.890253632895913,1.00436237573023,0.787986068121486,0.64080835437121,1.03323268905066,0.759038085125751,0.788016931049092,1.04388447747496,1.04008280227281,0.00408529766506634,0.0024997327021089,0.00117375487938254,0.00110198475280739,0.00222217445081446,0.00185105283889094,0.00331218810816978,0.940838396097853,1.12562698200346,0.906367614908944,1.10235713655152,0.722952465890414,0.853081396207771,0.976734669250094,1.11103428569982,0.927281641656688,1.15288396288894,1,1,1,1
"5","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.74364053109832,0.967974374082026,0.748360872816809,0.492803608209959,0.944981350132751,0.704775696969145,0.74833504349119,1.00605777411273,0.937708280127671,0.00803229181478311,0.00618754774345027,0.00148001207789273,0.00107455779798465,0.0025897422482908,0.00247166226064174,0.0036198054526383,0.845237910142775,1.04472479012273,0.81379887858667,1.12214986957738,0.684085364606873,0.812584722375506,0.930654760920733,1.08146078730473,0.819785234768185,1.05563132548716,1,1,1,1
"6","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.699212764340149,0.866271536271509,0.724612741102051,0.510310505751554,0.919188529631701,0.668657355097104,0.723360420316577,0.991880990263982,0.89777221835737,0.00479461532878979,0.00318973425149369,0.00143267078537866,0.00108884994715266,0.00260428696612916,0.00195761745797534,0.00303783030651148,0.819165388263906,1.01921167099949,0.755575180863852,0.976967891679165,0.65868487658495,0.788035964048205,0.917693740085056,1.06606824044291,0.789743847521304,1.00580058919344,1,0,1,1
"7","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.779440550600157,0.907940527782563,0.722326929126439,0.559927456447225,0.949577216000224,0.695196498114206,0.722305276640782,0.998482217793617,1.00448599290318,0.00462068464413476,0.00296701034559723,0.0013745524609513,0.00116381357834988,0.00357479555180442,0.00308139663150252,0.00349227878964899,0.832389611741874,1.06676482025858,0.801178798011796,1.01470225755333,0.655440441020039,0.789170112261524,0.925815301428668,1.07114913415857,0.888658801802314,1.12031318400404,1,1,1,1
"8","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.749532558623592,0.868515048751177,0.701432617672183,0.535261893210342,0.922142020195426,0.655189644016829,0.701264142001835,0.961427822578153,0.956714368916703,0.00346734270666037,0.00219649820833437,0.0013032349510989,0.00108012948683474,0.00280177764244851,0.00212806926047561,0.00286758066339508,0.818395651626544,1.02588838876431,0.776656094276736,0.960374003225617,0.636848107999233,0.765680176004437,0.890671145238544,1.03218449991776,0.851756768541607,1.0616719692918,1,0,1,1
"9","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.83111931689983,0.843842902153758,0.712995462277198,0.697285765293217,0.879113522973372,0.652051089711572,0.712957470065272,0.967637333202949,0.991034231723602,0.00550058970440257,0.00375297412379171,0.00143663252421885,0.00108244722761456,0.00246716696692441,0.00180511407049176,0.003744941111776,0.781759177306952,0.976467868639793,0.723770318297333,0.963915486010183,0.648472361167139,0.777442578963405,0.893347579501384,1.04192708690451,0.871090220722641,1.11097824272456,0,0,1,1
"10","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.864138235101826,0.972087073702314,0.719421782418617,0.603307663900826,0.945558876321592,0.672270586259709,0.719414219773509,0.993390891888752,0.996651983325543,0.00616970767635827,0.00402875181105147,0.00179164595306864,0.00107112167393091,0.00269316893502905,0.00229026368778019,0.00364708807898359,0.843843205056995,1.04727454758619,0.847681073214655,1.09649307418997,0.65526734905815,0.783561090488868,0.910428327479806,1.0763534562977,0.878285376699251,1.11501858995183,1,1,1,1
