"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","etas1","etas2","etas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc","var1cvgen","cilowmime","cihimime","cilowtilde","cihitilde","cilownaive","cihinaive","ciloworacle","cihioracle","cilowcvgen","cihicvgen","cicovmime","cicovtilde","cicovoracle","cicovcvgen"
"1","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.944499295939614,1.01889855839615,0.807384899596103,0.711954080773453,1.00229866724138,0.749928088284172,0.808070807221299,1.02590111408727,1.08724895088687,0.00405526401053752,0.0025882486602414,0.00113414118662538,0.0010593515950085,0.00149069882207901,0.00158195131335609,0.00294303948259485,0.926623911907126,1.07797342257563,0.919183885187122,1.11861323160518,0.744277350759177,0.871864263683422,0.959894169130394,1.09190805904415,0.980919366685965,1.19357853508777,1,1,1,1
"2","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.755714339576222,0.888786250753166,0.688447661855729,0.525820708924083,0.925842722496016,0.660314981339266,0.688136775038728,0.990303430662093,0.963301452430894,0.00461928590726588,0.00288271953558732,0.0016805796452762,0.00110775616392088,0.0023450272992682,0.00196901647833531,0.00328238302879217,0.830928777931117,1.02075666706092,0.783551962767205,0.994020538739127,0.62290215172167,0.753371398355786,0.909953478793451,1.07065338253073,0.851008965400781,1.07559393946101,1,0,1,1
"3","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.793773431586615,0.890949722744208,0.716170904329797,0.5917563662548,0.93149650862703,0.658662700705126,0.716402617193828,0.98312839623354,1.01028822898244,0.00476241767326815,0.0032687494243718,0.00131428713245652,0.00105323083069539,0.00229984807465542,0.00276299483096853,0.00312656981260205,0.837501315326542,1.02549170192752,0.778890685675944,1.00300875981247,0.652793721910232,0.780011512477423,0.912072323670775,1.05418446879631,0.900693381511894,1.11988307645298,1,1,1,1
"4","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.720664462475509,0.830265947814275,0.69357699373508,0.559658887480693,0.869089119989411,0.644980718903475,0.693783376463184,0.944080106116749,0.954200880753107,0.00397993946855648,0.0024231603088625,0.00114252438106661,0.00105448262956625,0.00195192926804783,0.00145949769976687,0.0031181809977645,0.78249505855254,0.955683181426282,0.733783759600459,0.92674813602809,0.630136691791147,0.757430061135221,0.877829659610288,1.01033055262321,0.844753157519537,1.06364860398668,0,0,1,1
"5","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.955111089214375,1.04109156059422,0.744913653848949,0.637586803600693,1.01057370086987,0.744394596197088,0.744899117634367,1.05955967704916,1.10896472196116,0.00395453208182136,0.002427973070036,0.00110135770103561,0.00107230120080351,0.00190262140001512,0.00208510119825773,0.00319744614414247,0.925080365630811,1.09606703610893,0.944513605833056,1.13766951535539,0.680716937140037,0.809081298128697,0.994513726027603,1.12460562807071,0.998134630797529,1.21979481312478,1,1,1,1
"6","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.803285407957211,0.938860438011777,0.705723519975268,0.497939820288977,1.0147177184656,0.681048236321517,0.705576621167233,1.01204268089337,0.983632164866669,0.00380591965262723,0.00277370855540545,0.00144063226720459,0.00111338251532657,0.00158374978819043,0.00217563222160944,0.00301411775280531,0.936716864711862,1.09271857221934,0.835635059415011,1.04208581660854,0.640176542643743,0.770976699690722,0.937649583648448,1.0864357781383,0.87602624142759,1.09123808830575,1,1,1,1
"7","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.837567001069352,0.928806605242616,0.724459545006183,0.590655320268901,1.00706155793885,0.686909052071477,0.72451695525873,1.02444861330805,1.0218219602234,0.00351313544242519,0.00236910398687316,0.00119107722971622,0.00110346468797137,0.00203108549984942,0.00176997171724293,0.00307231817741577,0.918729128694424,1.09539398718328,0.833406658303575,1.02420655218166,0.659408814866681,0.78962509565078,0.956805119269989,1.09209210734612,0.913182107911462,1.13046181253534,1,1,1,1
"8","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.870956736133763,0.991198664160173,0.73118956291042,0.573574037110573,0.989765260982691,0.70350969652228,0.730891415259908,0.998009077891987,1.01528710671389,0.00592537168065452,0.00425209348796465,0.00127062385970379,0.00111657567312481,0.00234877827450017,0.00233324036896587,0.00372263384547243,0.894775437215511,1.08475508474987,0.86339083050603,1.11900649781432,0.665397620852528,0.796385209667289,0.928143287841075,1.0678748679429,0.895700860929661,1.13487335249813,1,1,1,1
"9","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.812471683301055,0.937964144370073,0.738865285424387,0.567902005134063,1.0168654124279,0.675726172776639,0.739055567075796,1.00665615509811,1.00698488917082,0.00458692654593217,0.00305347985700414,0.00139106137389849,0.00110197577354404,0.0015562754237179,0.00195090407388903,0.00339345193104971,0.939544085048221,1.09418673980757,0.829657873920634,1.04627041481951,0.673991366998897,0.804119767152695,0.933554162143281,1.07975814805295,0.892808337557453,1.12116144078419,1,1,1,1
"10","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.738893577771016,0.873071853803372,0.743443895988503,0.579751797682406,0.935108711763332,0.679875804929096,0.743252380209657,0.989678402822998,0.96205308018279,0.0054867733935731,0.00374195903915879,0.00137536983118144,0.00107777475635991,0.00182720493574392,0.00191881635579867,0.00309893881992521,0.851326908958941,1.01889051456772,0.753175607636812,0.992968099969933,0.678906599430866,0.807598160988449,0.916989884173444,1.06236692147255,0.852943578439703,1.07116258192588,1,0,1,1
