"","n","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc"
"1","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",0.967523279107586,0.915757647182054,0.659976993323035,0.736945058289079,1.00200575952077,0.546689926255519,0.659963572524276,0.995430782248032,0.019284697173389,0.0135669808621758,0.00216707100164364,0.00174772742502521,0.0163174133606644,0.00420377697823542
"2","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",1.15139607773124,0.947760746814727,0.693464119596403,0.944251601429897,1.03761579098655,0.560686525609592,0.692549226000397,0.952736488876267,0.0213965387930537,0.00883428342412047,0.00251430592958734,0.00179960927843493,0.00902545808526287,0.00422266115629843
"3","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",1.04574661334219,1.06029187297541,0.79101025110722,0.77104282166768,1.07761018206324,0.695704069696525,0.791139038104951,1.04723680071928,0.0176761947274132,0.0105648890972054,0.00183682197638651,0.00174372927932394,0.00597175455048286,0.00354047234824305
"4","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",0.846892251009949,0.953178664496145,0.672035749452455,0.51581134206001,1.01282579768042,0.574796863564654,0.671854186702511,0.97723769487791,0.0213965308519694,0.0136654274633949,0.00205699477247802,0.00179945907725027,0.00668730645465823,0.00439420970431076
"5","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",0.966773989090595,1.03125306605365,0.671796215455911,0.568139392536714,1.00150543563134,0.518510770470426,0.671810691206563,1.03915945757855,0.0159338394223536,0.00965215227010631,0.00188750642534796,0.00175285698534572,0.00711444161514455,0.00365525688936083
"6","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",0.84648151826119,0.843886972794216,0.711851525505564,0.715792183784745,0.942094631151857,0.515299046500082,0.711968096404795,0.982093767735245,0.0149332655623302,0.00994954615299556,0.00296269255546222,0.00179384117539231,0.0169192655892225,0.00348405881223958
"7","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",1.09506840811562,1.03627381674978,0.677321913669856,0.791784468103036,1.26649085451853,0.588703670953058,0.677275424651875,1.05803665682221,0.0139757004624784,0.00942439759537936,0.00231215085044337,0.00189706510401971,0.00680130484636429,0.00790150171192074
"8","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",0.965616153368057,0.984928551274191,0.665148961962705,0.629300409546715,0.877942442571921,0.512097824593694,0.665194358408471,1.03663895867604,0.0201773009419194,0.0118476593074872,0.00250581386138053,0.0018038969440314,0.0158854564938051,0.00610606608527729
"9","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",1.1371047781723,1.07339115768021,0.666953068197901,0.77995675929246,1.0259016368331,0.553885716422262,0.667223205160705,0.911932707215202,0.0170351422682678,0.0115491019938027,0.00229098721235186,0.00183163095855997,0.0145363550566916,0.00388790400283672
"10","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.8","0.95","normal",1.27356229777675,1.01113579370748,0.679213774208426,1.04644532866708,1.01057954248652,0.58108818110565,0.679339729313473,1.03047708888524,0.0178052629990854,0.00986748249188081,0.00212733003858496,0.00179258583246592,0.00659104715933767,0.00509186307978317
