"","n11","n22","sig13","sig23","sig_y3","basemu3","shift3","alphas3","betas3","tau3","gammas3","outcome_model4","n14","n24","sig14","sig24","sig_y4","basemu4","shift4","alphas4","betas5","tau5","gammas6","outcome_model6","n16","n27","sig18","sig28","sig_y8","basemu8","shift9","alphas9","betas9","tau9","gammas10","outcome_model10","n111","n211","sig111","sig212","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1rcal","tau1naive","tau1oracle"
"1","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0898180489673033,0.0958251846931756,0.113518816518508,0.12319557903414,0.117246082114102,0.101086738966955,0.113479579140767,0.106343306296629
"2","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.148280811968474,0.146593016635213,0.152199913364019,0.14921715834286,0.151973969660715,0.136619436100372,0.152083108109848,0.132517863247206
"3","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.120208801115573,0.11999686093947,0.117579207200809,0.125150237060137,0.123461175870947,0.130826476988132,0.121204944921581,0.11848228113978
"4","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0221550476827673,0.0850669786841464,0.0552225375228036,0.13094414363883,0.101409083730887,0.110565698641303,0.0599558865301772,0.134037421286616
"5","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.108450050195184,0.120648870520409,0.126815384105327,0.148143221426002,0.106094234378713,0.155142444489542,0.127430631906542,0.129961302219505
"6","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.113359657774474,0.118598401988188,0.120217116677696,0.12711719482943,0.12082514494708,0.125003440449503,0.119945073748098,0.116524307833624
"7","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.164893341425292,0.0822991671477002,0.173270849269695,0.0696644385877393,0.0838882774960941,0.0600453751350614,0.172415247361166,0.0559816224031264
"8","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.125799420299061,0.11248639313972,0.130013343461788,0.116463569554506,0.09232829418602,0.116126388746644,0.129709117619949,0.103342597784966
"9","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0590321912538023,0.0632574214783889,0.0675688433371111,0.0718278891496674,0.0682116199073206,0.0594502450172183,0.0668319425141047,0.0564257854210757
"10","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0668701588609814,0.0895204354027282,0.0973590600517401,0.121302049970864,0.115884156326444,0.108764747757626,0.0922960329882959,0.105672353567463
"11","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.108920085951125,0.102523949498442,0.112524691957567,0.105090988053194,0.115676742055309,0.0970427950208882,0.111251756218131,0.0790262563588779
"12","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0780090246821823,0.0802747356710942,0.109864610652045,0.109391510411297,0.0645905145531193,0.062610092636333,0.11135034818005,0.0888473473735708
"13","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.130701531364214,0.126257046760639,0.135327197658278,0.124735338629426,0.124007362567423,0.121381880146118,0.144156601550242,0.110406578188996
"14","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",-0.0506362527148637,0.0961570787891059,-0.0355544212612233,0.128862170703799,0.0954767315336876,0.123769180863027,-0.0361671005987055,0.11607330280335
"15","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0423106447115752,0.14508942369931,0.00849704138672808,0.107787468528118,0.110838314623751,0.0941527431253044,0.00374750574826301,0.0964248046402146
"16","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.258734942593081,0.158262193077681,0.217015513808256,0.0902753536909503,0.138912303317865,0.0599928042443899,0.216866389168948,0.067357592333109
"17","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","binary",0.0900480923132936,0.108394711510538,0.0785114272787238,0.0991617710250039,0.112402245145137,0.0821112900123728,0.0801053103549708,0.0789909085460358
