"","n","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","sens","spec","outcome_model","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"tau1hat","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.894271049928477,1.01622465914703,0.771077517844713,1.04841131592881,0.745057738023756,1.10737136134719,0.840229922901928,0.912643279581362,0.998076586217059,0.985344897048348,1.16304937465172,1.18710021038315,0.901610208519897,0.941245670856509,0.759865643980866,0.927057051894138,0.991746516527988,1.14159384568746,1.08417062735192,0.853833267644593,0.952554840813231,1.10787845691077,0.733523165142067,0.846777846683536,1.11559515825603,1.17000638631018,1.01372205051467,1.02276796490034,1.2149154020116,1.22697094696665,1.1295904384131,0.936833398770757,0.987124787369095,0.94210733730774,0.837936121647108,0.737842706591684,0.995067362637129,1.06471791871603,1.2310494963842,1.10710283921484,1.18428048920298,1.22938987335425,0.901601224300957,1.01671370425707,1.2107687662586,1.14179538689626,1.08338912657772,0.9475025972035,0.810153838306861,0.967647417343407,1.17547380006473,0.904053694695046,0.725073076905819,0.993147810960652,1.18670250459566,0.763328301362176,1.04479618304438,1.12985554431512,1.22173091125369,0.950221160958271,0.902828440047747,0.927415797187191,1.00949506147052,1.04037513842682,0.79131224549845,0.96103378208663,0.896937423461508,1.03163022773399,0.989670392897694,0.913631875589181,0.959460036040604,1.18349653719482,0.823531824228619,1.06560253692305,1.01242378016327,1.08945364472516,1.07794278648901,0.942111849501918,0.878194119580934,1.11975102073221,1.04138887813899,0.937339690989553,0.898573573390335,1.19444101275432,1.02169610165826,1.18687939216117,0.987286178356377,1.06190600667368,1.21528415469375,1.14888820697943,0.886770345509087,0.807415502476549,0.937507619975603,1.18148561435089,1.03968322611214,1.12749824653951,1.08347262714486,0.801771919981169,0.890125226960417,1.16199235500378
"var1hat","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tau1tilde","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.920182514032446,1.01209995073002,0.987437371269724,1.05451113556646,0.912391358283573,1.03385793590739,0.960620366463886,0.965414642243449,1.09939589271078,0.953167580650739,1.2299119801684,1.08619961692364,0.887378394516118,1.0961252724679,0.823680494073515,0.922211040745349,1.03027256033492,1.1726875421391,1.16504621310554,0.890152990168182,0.938427551828642,1.13249946770502,0.865189653482943,0.92922137652732,1.0212546076986,1.08592973029279,1.08151301241931,1.20968405491769,1.18121221103375,-0.0566461142413424,1.12578280674265,1.01178329533504,1.07578639607254,1.06262471766781,0.900361969039757,0.909998577237451,0.919630603291757,1.04032307196797,1.0420195820513,1.07881162790967,1.20261966563396,0.932049885606493,0.896619265755465,1.0487277099091,1.05055047973178,1.07524893158949,1.01331115960216,1.04777653524475,0.824074500990846,0.980894701626333,1.05778027750544,0.874558764257298,0.865943918082771,1.03506977557781,1.10218481241542,0.896500529037598,0.871097921295587,0.991348915362377,1.06422072595514,0.904461160751945,0.944288969935935,0.859576937944536,1.01265211759556,1.05816720893869,0.839478849106908,0.946795012736516,0.955421492325156,1.02900837325982,1.05816228668989,0.951672085020257,0.970816172863805,1.10345539451856,1.02104680577398,0.962459010848148,1.03951335895989,1.10128205947981,1.03938203498691,0.927293306132335,0.954688649464567,1.05866966493973,1.05140128930599,1.0259510588266,0.943274120785654,1.14983659860409,0.930757037742963,0.94395907631223,1.01056715429483,0.900101595020181,1.00296635209148,0.961354971357567,1.00580381190861,0.897780388512592,1.05327876372609,1.12357465384914,0.897972250960673,1.03306850643203,1.08602902887985,0.949014964087162,0.972328090940364,1.10555370593004
"var1tilde","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.00727431550782203,0.00044290151862959,0.0069789120121766,0.00756881889621452,0.00836380760221788,0.00549665108916347,0.00486040216966334,0.0107092145286322,0.00961784632618363,0.00696819249203722,0.00671333956147381,0.00697368703606088,0.0042626435907531,0.00875014515910528,0.00777959962402189,0.00682694114136251,0.00351386356940153,0.00699819454438901,0.00840923684660795,0.00646295481109378,0.0093777410930821,0.00918053084031392,0.0114157458430801,0.0125312304742516,0.00724598986233679,0.0087370002986312,0.00710600852347487,0.0126125227480135,0.00875366918985154,-0.229780993768627,0.00740269193150795,0.00740852811261686,5.73787728481191e-05,0.00684387328017294,0.00654223313967658,0.0113504980936088,0.00716404923604244,0.00612399328133755,0.00784498607030399,0.0104307289400911,0.00764386945814434,0.00654220983734588,0.00707483736779975,0.00669606057064996,0.00575345631700817,0.00565894086252032,0.0063718193526485,0.00784068171362487,0.00450583732588507,0.00944892134704517,0.00399828377288447,0.00912412341392421,0.00720597453008215,0.00654118295810332,0.00752024292496589,0.00825945163685738,0.00567300558640164,0.00528873850344573,0.00660663802024789,0.0070979106500339,0.00667446921821903,0.00441177394888013,0.0106311882859921,0.00681617583562612,0.0361462832552464,0.00752838422496775,0.0102064684539524,0.00758688770147956,0.00714744015309651,0.00933358528068429,0.00977506287802616,0.00618278439882407,0.00406552489800558,0.00595485663517735,0.0135299885011511,0.00830540103414235,0.0113894613633809,0.00820396467991505,0.00892124215223746,0.00793374157004303,0.00719919836405253,0.00720917245870489,0.00944516755455862,0.00643742310095391,0.00659849037008351,0.00475678839162337,0.00666311437652481,0.011439703361656,0.00689085761373804,0.00369186328366137,0.00577817681838124,0.00632342686008174,0.00739818266416796,0.00730286063192529,0.0088872205907691,0.0107166423253487,0.01541153268442,0.00698897656104725,0.00731169511299458,0.00985180001732998
"psi1","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.83736821381122,0.891983638904843,0.984979667569442,0.913401272828147,0.859094466424891,0.883282965016949,0.927824549321712,0.880283955749775,0.9036451076987,0.859553708356143,0.982200750981281,0.938279750849781,0.916695736795413,0.990965296380134,0.834564926740037,0.858960566519826,0.891896380551931,0.908619372757431,0.91724387452285,0.870534820186847,0.867771015353477,0.863002062255149,0.78366218754914,0.90666628632895,0.880316563941666,0.869028031950537,0.874711923587809,0.88760277028392,0.929282957141509,0.912897041177309,0.932047576543954,0.848284747554845,0.897569982315795,0.831443505347139,0.891632990224281,0.912938988530467,0.87356591298852,0.883494049429719,0.907395417961486,0.930406338236138,0.858495087586723,0.893480103832184,0.855426675652546,0.88571542826853,0.916937394891366,0.956793009875797,0.827850840002602,0.903584350816304,0.845587066322521,0.876200206500415,0.91943430483156,0.888115946732682,0.856955674346915,0.93117708963991,0.863179603699095,0.806293921519565,0.836808175562935,0.911091299666172,0.828442286845416,0.821127980584361,0.82871788782185,0.862298514612479,0.896990841116908,0.868868538377296,0.874034226760248,0.86644643381877,0.908050385062368,0.852712112145462,0.908644298666375,0.788099933245974,0.873234261954371,0.921427584898456,0.828781552702925,0.894215041075438,0.90612005220253,0.876810389000338,0.837801480044222,0.824292020712369,0.81866914058167,0.840856026719994,0.872946148529613,0.925445299720839,0.874549163107301,0.954686643880341,0.860470905281898,0.911737420905826,0.903397784327465,0.767827846033126,0.88656388108887,0.866980269761844,0.876801269890414,0.833576290643419,0.877335543007913,0.909550096221885,0.819496208333675,0.958145837420795,0.913999575942229,0.924237262751164,0.858826945836892,0.913723997142908
"psi2","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.782676191062928,0.923283335952242,0.731386809970196,0.89582103107789,0.652932843454448,0.996199230769877,0.797441461298276,0.795160840240157,0.785932522798048,0.904227519720104,0.923596195569131,1.05477803433322,0.942614556418768,0.758483831775727,0.779924257714253,0.870960999577955,0.844641921858626,0.880969574837292,0.817644799744778,0.822770596685907,0.887431031043372,0.818059347262999,0.659756642496505,0.734694114651186,0.994615701485586,1.0043902287389,0.773975987286736,0.684314788996261,0.991129430799844,1.21523393414285,0.928101880887352,0.735401960833891,0.872323414518562,0.666307653899987,0.824209126510164,0.654861810887962,0.966397682760431,0.919247640970317,1.16846802688241,0.964583501297492,0.833701184504965,1.27864813163136,0.859038050885247,0.846553431145374,1.11387613406942,1.03411317595266,0.905567168344156,0.782015886115064,0.83352139402048,0.858255989902078,1.05047459945066,0.934305971658568,0.649503476866648,0.889405368866231,1.00551329775719,0.652624796261425,1.0464671975382,1.06359409321974,1.04044954480294,0.907732586232884,0.793839418668816,0.928896105168887,0.888075347392787,0.836299190356434,0.811575100152978,0.878801248072623,0.843171887401771,0.863485885437785,0.798680416724138,0.741457908124097,0.86653208249702,1.02014299265922,0.649764438088426,1.01784771141669,0.853119235954937,0.848416234318314,0.905545804123565,0.841542834666308,0.704260580119038,0.927152035682047,0.857652206157635,0.824246059691377,0.790609102499528,1.00996947218925,0.998999875050012,1.12502198072101,0.87157387652229,0.996090874144326,1.17595378009597,1.05647406985119,0.740721531557846,0.735354456907823,0.715970675055075,1.00076629026318,0.944878744890689,1.15441919583568,0.890934469559063,0.721605956741227,0.706932719926755,1.0151905610017
"tau1mime","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.912136541314227,1.11093021459499,0.979141732445615,1.05402182705359,0.942298161749324,1.00145322001679,0.956804235392252,1.01781625997705,1.03296892252434,0.949547967438405,1.15814502315169,1.05458836531647,0.848971300414367,1.13425072718833,0.817547756196883,0.919007371289247,0.989843843883913,1.14943225265317,1.12762982806464,0.968819611162615,0.97348630179925,1.10647269219139,0.904056371023916,1.06076221494382,0.942957551283314,1.04924956287952,1.10432835029685,1.00917329315835,1.1583536422854,1.07892889779148,1.1322633529258,0.996806711404368,0.983741249040721,1.10364913811062,0.896276816778406,0.983660812390527,0.99246240296589,1.00900276665555,0.965068557875142,1.01527319366502,1.00267720263356,0.846554346003391,0.932605643383976,0.975539101434,1.02292034763293,1.03929519877147,0.927898886757584,0.980339204786463,0.806506214920848,0.976523632671463,1.09302282787748,0.933302953261057,0.908487786570622,1.0095874868082,1.07620552050522,0.925764375084097,0.830492954999715,0.955084287777925,1.00587158308839,0.900832626722089,0.971425238048329,0.903939667344038,0.9491466172359,1.00264205392736,0.970703115675862,0.972547300207927,0.961093102902808,1.0183072492003,1.04921451817386,0.928691259746395,1.03193985850529,0.986843188655486,0.910624757782421,0.947422099814478,0.998386789565801,0.960411804722076,0.962232602911748,0.978359310279604,0.987333137499304,1.02458074883778,0.992067421655332,1.02090499827942,0.996639181376626,1.07579001562969,0.843821690839653,0.983216758362775,0.998861497651995,0.848194124009226,0.94919865924572,0.970038766721301,0.957871283945247,0.90367789838196,1.0265265823379,1.02661150716719,0.928257260087903,0.956443977756657,1.07194615411481,0.962531123803449,0.946867740312105,1.02327463116349
"var1mime","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.00409294151984642,0.00688168635651603,0.00553258577256237,0.00330726064553228,0.00739769630554357,0.00323971917434924,0.00501810111955504,0.00406638830241105,0.0041799331127437,0.0120195564436128,0.00386077321102039,0.00918457918805409,0.00397425813610263,0.0055909415921633,0.00986588497468995,0.00330874330364502,0.00580323580554132,0.00672562208326681,0.00665467439970482,0.00355817446532162,0.0120166119730259,0.00959947131345602,0.00479722468039093,0.0117977600204779,0.00651902572294366,0.00460829629760528,0.00510938265094208,0.00467013504747263,0.00722794370265111,0.00980651450431342,0.00327253579164283,0.0047686066148044,0.00563338761943664,0.00507911480093232,0.00371523974051622,0.00917226080526631,0.00522943089799425,0.00396652222050225,0.00379027608258224,0.00292212253310014,0.00601307827114969,0.00486947928326154,0.00757381599519958,0.00383356851692661,0.0035811124318751,0.00896238959071913,0.00342498730440887,0.00371052161414411,0.005361175906986,0.00436693619473123,0.00311395049049124,0.0068643418301966,0.00411195734920002,0.00313297124248143,0.00857122917892007,0.00572518190548461,0.00430521460099889,0.00268189650974452,0.00604394801709919,0.00614977972386758,0.00315256483854283,0.00315856694533227,0.00611885063344776,0.00309517678232807,0.0085224329787865,0.00819062589523004,0.00312118790355759,0.0137753727613093,0.0109285569458687,0.00304782004315849,0.00733663684477802,0.00375369021019588,0.00611429933111324,0.00371931502492629,0.00980546941061666,0.00754093919910398,0.008546046476899,0.0132598348428006,0.0109797126018303,0.00487052375942037,0.00406613193966734,0.00473012098928621,0.00787773288579743,0.00557629548450479,0.00397287445716285,0.0101583456404806,0.00583256931382571,0.0075535097866852,0.00406073624627872,0.00287321215582198,0.00473346100984952,0.00382325871454957,0.00708176620010276,0.0108473341795523,0.00464668784616874,0.00565615900553915,0.00502495780154243,0.00311539570910711,0.00874143264891441,0.00715504881261831
"tau1mimeunc","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.776917016035629,0.803294166957293,0.882879091977757,0.823505662196607,0.787044314825535,0.827903951539529,0.899546177494429,0.790230736125437,0.780394146506833,0.807990665788532,0.86941329673659,0.87086410392989,0.858561808032755,0.892463726885426,0.753315014813934,0.806065402593188,0.82147289628493,0.848355781606024,0.858292895238243,0.806330974315412,0.846931930684909,0.797726366799659,0.716381900786393,0.863429349636144,0.832589105772576,0.824883994317068,0.818459854792898,0.807371921013406,0.911006050716486,0.840909289203154,0.805817966363747,0.775969125683214,0.843184533145766,0.765508086617927,0.823051408464615,0.767658994817883,0.801515240062907,0.806841476312608,0.778352016467188,0.838665379581399,0.810057152397975,0.871724796230752,0.802099164702013,0.813385205678476,0.879667084052548,0.864947556955746,0.75508192981198,0.826415319802433,0.782069161229339,0.78389117605038,0.888658301582955,0.764492058197131,0.810468950193001,0.843977804338995,0.784772481273921,0.749949598062677,0.809970634871743,0.896908691223624,0.798731039617462,0.748308321000157,0.737820380901236,0.747521770542857,0.80169128702233,0.725650725027748,0.779199478899502,0.800123045250004,0.808677846461901,0.777671548086885,0.86391631590967,0.702824176942435,0.661482855044724,0.84296064738828,0.769257831229714,0.864823470000585,0.875105922739206,0.799606424207005,0.728385949614239,0.80291719915005,0.725310443396863,0.768092605277886,0.834044094876477,0.874151481836631,0.766554771433376,0.890874883719081,0.766152475537481,0.824436660257419,0.829614968713226,0.72482162658804,0.832493412549293,0.817580867094595,0.799086237223572,0.811415421929877,0.783189158289144,0.859133911182951,0.788969557504401,0.899156746893142,0.816200849001296,0.859858810754038,0.767725917749651,0.835363698596464
"var1mimeunc","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.95","0.95","normal",0.00330145699879703,0.00290538043647766,0.00345711089309065,0.00710338326704142,0.00389281560107901,0.00242623667051597,0.004059535278588,0.00645061919440903,0.00773525848981191,0.00310911976146679,0.00471356532976572,0.00288605507416835,0.00254029128767084,0.00509585755810043,0.00650996228425505,0.00333410141286743,0.00251850168275137,0.00335455925532205,0.00267691689452478,0.00417963175064756,0.00292082788663385,0.00450302895474182,0.00825495261216887,0.00599850241491343,0.00348461062762724,0.00414031938963427,0.00338423191650556,0.00442925687845109,0.00542708897849592,0.00464256387753207,0.0043636544618906,0.00300623625214824,0.00296895297392079,0.00337610252743488,0.0050103292446816,0.00762486408419502,0.00558061250365584,0.00388908913907705,0.00610027043551794,0.00271249025025497,0.00528597731517501,0.00295315815709912,0.00359441394920212,0.00289244436781893,0.00374448523577898,0.00729166613087834,0.00570145029039314,0.00369368018700275,0.00355106291204741,0.00645169459738771,0.00449923642385619,0.00369888360910035,0.00350781242145125,0.00350178147800446,0.0028196508345176,0.00253309702265825,0.00226315511288261,0.00210271520517319,0.00356984290236631,0.00388128821842173,0.00429488906721532,0.00390206242824862,0.00582638516767829,0.00462652160215192,0.00405792329032712,0.00310162521826665,0.00480051452554041,0.00492191060726733,0.00278325872404775,0.00534835235373455,0.00940760054542694,0.00401135275531826,0.00452705232408893,0.00297452428823904,0.00701769133028845,0.00269966189822949,0.00610247141128003,0.00374191766656485,0.00418829720887077,0.00538832426197726,0.00361890943997288,0.00463098760818787,0.00533339168157738,0.00247348433180271,0.00397891154527747,0.0034003097264839,0.00277929267778899,0.00362018125760531,0.00374341152187311,0.00238982158294294,0.00747052578023256,0.0030622805591174,0.00373355370252646,0.00304330342997225,0.00269370311119637,0.00393042859319915,0.00521511550120982,0.00356107650166455,0.00210899848989216,0.0044090332411328
