"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","etas1","etas2","etas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc","var1cvgen","cilowmime","cihimime","cilowtilde","cihitilde","cilownaive","cihinaive","ciloworacle","cihioracle","cilowcvgen","cihicvgen","cicovmime","cicovtilde","cicovoracle","cicovcvgen"
"1","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.79330468530983,0.887965505171152,0.695671870860849,0.573268532212237,0.945130470290275,0.667981497082393,0.695672891533527,0.986097662882745,0.956581077718441,0.00602163083846883,0.00439441805477799,0.00152646441416926,0.00109348576103375,0.00251585025504965,0.00198206820466306,0.00349755982490028,0.846820296148435,1.04344064443211,0.758036307531687,1.01789470281062,0.63085981492404,0.760485968143015,0.909520475068928,1.06267485069656,0.84066634257516,1.07249581286172,1,1,1,1
"2","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.937455262298514,0.997623270749025,0.717504977112595,0.645108144259696,1.03868918088929,0.707257445011258,0.717662203722177,1.06092903658148,1.1134117132555,0.00442806331426493,0.00313290777388658,0.00131203980601878,0.0011088849952372,0.00211855209256015,0.00226850481805658,0.00337285386340671,0.948474826605844,1.12890353517274,0.887917398052242,1.10732914344581,0.652394351009657,0.782930056434698,0.989933740125995,1.13192433303696,0.999582211799752,1.22724121471124,1,1,1,1
"3","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.902045802093621,0.921323879303499,0.773425582556555,0.744847525639494,0.939460936413817,0.720654027026229,0.773955072195111,0.976795477488915,1.01446452515569,0.00453823293979645,0.00303475076671204,0.00139094889706776,0.00110845665024565,0.0021381781457125,0.00161102806603637,0.00352418352819945,0.848829677101319,1.03009219572631,0.813350278153028,1.02929748045397,0.708699826677347,0.839210317712875,0.903696439991999,1.04989451498583,0.898109450311781,1.13081959999959,1,1,1,1
"4","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.81567519556722,0.906114172705509,0.743977878737313,0.634193049658435,0.93017531007261,0.690554863688389,0.743974122476976,1.00459933191133,0.996399148448513,0.0050914088599223,0.00340288876886064,0.00124758552459425,0.00110854255082594,0.00266891008074285,0.00261031425042641,0.00338710946237518,0.82891877958602,1.0314318405592,0.791778974737189,1.02044937067383,0.67871634850902,0.809231896444933,0.935369825548214,1.07382883827445,0.882329346525916,1.11046895037111,1,1,1,1
"5","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.856818852866803,0.945517434270208,0.755482870592319,0.643722123453167,1.00142303080154,0.72437171909553,0.755051754649808,1.02371361155726,1.03840063440496,0.00397236106510134,0.00260513068550623,0.00129533479502945,0.00105457438656906,0.00223765271286837,0.00252028393176815,0.00273692996234953,0.908707516124894,1.09413854547818,0.845478091802153,1.04555677673826,0.691402300893757,0.818701208405859,0.953171722239029,1.09425550087549,0.9358619093136,1.14093935949632,1,1,1,1
"6","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.897326818896305,0.9321819975489,0.744172579905162,0.695706850441263,0.931443089749193,0.701977638433957,0.744475521737281,1.01448693503044,1.02064693737154,0.00540995677945917,0.00324989362572455,0.00126248299889189,0.00109451115630984,0.00222632157408557,0.00184956180061555,0.00349169006362127,0.838962621762665,1.02392355773572,0.82044663451381,1.04391736058399,0.67963206363949,0.809318979835071,0.944845318962583,1.0841285510983,0.90482950971746,1.13646436502561,1,1,1,1
"7","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.677868125627681,0.856043089798892,0.675508773802241,0.440724846320632,0.935974850695214,0.646095623545059,0.675191357962526,0.970759200975082,0.928296070560532,0.00440925053529431,0.00296756065836847,0.0019585436464686,0.00113815818817269,0.00449552057464076,0.00239873253181831,0.00311662160957434,0.804559509735568,1.06739019165486,0.74927145955383,0.962814720043955,0.609067621712339,0.741315094212712,0.884018545730418,1.05749985621975,0.818875717904636,1.03771642321643,1,0,1,1
"8","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.843979735826708,0.955024021497224,0.736823414371279,0.58553395147683,0.96611986208859,0.705245013812918,0.736855686301601,1.00448175077094,1.07695101131579,0.00391480294133762,0.00248581068529476,0.00130923677742115,0.00110946021240782,0.00193626035178539,0.00182345840749583,0.00309326723572281,0.879874063539219,1.05236566063796,0.85730252780915,1.0527455151853,0.671570907432512,0.80214046517069,0.933562331680391,1.07540116986149,0.967941399754456,1.18596062287712,1,1,1,1
"9","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.868181496603204,0.973101126581028,0.787427209841628,0.642447501701641,1.02780194153616,0.74349341122974,0.787068410703746,1.04025463807984,1.07748836293883,0.00357376611039929,0.00232273988514765,0.00111743050930276,0.00102428295140703,0.00205086139755475,0.00149068050530529,0.00292125855321281,0.939040524553064,1.11656335851925,0.878639295438586,1.06756295772347,0.724339745915427,0.849797075492064,0.974735777859766,1.10577349829991,0.971552972921974,1.18342375295568,1,1,1,1
"10","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.814421688190773,0.842018385084455,0.710107842710228,0.670269989175776,0.864107192651251,0.643822110702068,0.71181240254386,0.988888572155871,0.973046866181927,0.00443633893932235,0.00292553337207598,0.00130202465087666,0.00114120500303715,0.00166914933418048,0.00225961952572427,0.0031223246075953,0.784030953465162,0.94418343183734,0.736005513214257,0.948031256954654,0.645600219830499,0.778024585257222,0.918164757928923,1.05961238638282,0.863526447023954,1.0825672853399,0,0,1,1
