"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","etas1","etas2","etas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc","var1cvgen","cilowmime","cihimime","cilowtilde","cihitilde","cilownaive","cihinaive","ciloworacle","cihioracle","cilowcvgen","cihicvgen","cicovmime","cicovtilde","cicovoracle","cicovcvgen"
"1","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.872382224702307,0.986923485102062,0.766957020935397,0.60389173665783,0.997277329629244,0.731424434371814,0.766905587116833,1.04143723052637,1.0723804706749,0.0038324817015961,0.00258649761891565,0.00131372736404664,0.0010952209068664,0.00202712569635756,0.00177134642236759,0.00331231278686666,0.909031048828707,1.08552361042978,0.887242547843094,1.08660442236103,0.702041108117785,0.831770066115882,0.970396291331275,1.11247816972147,0.959577187025771,1.18518375432404,1,1,1,1
"2","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.792481014214988,0.92618573472984,0.703092436955982,0.541353167345695,0.950435158075818,0.682351889423947,0.703200505099702,0.994701875148411,1.00320382556253,0.00505838448353456,0.00350537505433318,0.00118912585292433,0.00104037497515788,0.00197954578192181,0.00179467877001458,0.00311373822170255,0.863230668077706,1.03763964807393,0.810141567238637,1.04222990222104,0.63998101044365,0.766419999755753,0.927113814985435,1.06228993531139,0.893834100535476,1.11257355058958,1,1,1,1
"3","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.939834093526203,1.0297905625186,0.764393668231381,0.644088801756695,1.02678961838142,0.743681150664652,0.764300287693506,1.03589626134038,1.126299901042,0.00406350809854385,0.00269774755581348,0.00141692348496387,0.00107350369790997,0.00178608755600229,0.00163830603025463,0.0031092384130751,0.943955845346871,1.10962339141596,0.927988465239555,1.13159265979765,0.700082129779323,0.82851844560769,0.962117854879972,1.10967466780079,1.0170092322378,1.2355905698462,1,1,1,0
"4","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.777597058720251,0.913543110276555,0.709099536915851,0.568510396303671,0.951746782016547,0.66582082506437,0.709016497240515,0.986474132240513,0.963666268929446,0.00608864114871779,0.00383921750225788,0.00128026204198166,0.0011085267662406,0.00212308482496223,0.00238664485517891,0.00346163879025871,0.861435970573094,1.04205759346,0.792098728122937,1.03498749243017,0.643759187878345,0.774273806602684,0.916343863023314,1.05660440145771,0.848348310325168,1.07898422753372,1,1,1,1
"5","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.796753763252379,0.922935828213386,0.744392983441529,0.596335029923776,0.934970314228754,0.695923899347889,0.744384213947371,1.00575863921667,0.9418442227961,0.00683204036902533,0.00495622294064075,0.00128360706313768,0.00107583616822354,0.00418546553261098,0.00208848288065316,0.00356734668920967,0.808167773283872,1.06177285517364,0.784950952053839,1.06092070437293,0.680096328433477,0.808672099461265,0.935536812882189,1.07598046555115,0.8247787751129,1.0589096704793,1,1,1,1
"6","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.818294493083859,0.912662615055837,0.699918551223312,0.561508257261638,0.952815523660461,0.679220222521307,0.699942453007881,0.981800346791938,0.971064069836372,0.0040660466742404,0.00281693855717163,0.00119056479191779,0.00107544776199677,0.00178494792191375,0.00192892225745451,0.00289920527001638,0.870008181372329,1.03562286594859,0.808635930204158,1.01668929990752,0.635666173382449,0.764218732633314,0.914171405467743,1.04942928811613,0.865529303217523,1.07659883645522,1,1,1,1
"7","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.762326639282433,0.892956134908808,0.691136376819136,0.52863668228355,0.919967301232893,0.638248701978815,0.691143192898034,0.970692075951349,0.945682962437184,0.00417034357524658,0.0026198618736925,0.00152384700860867,0.00107266702820892,0.00168205387548856,0.00222848813810468,0.00317817581389622,0.839582114985197,1.00035248748059,0.792634345780139,0.993277924037477,0.626950065107223,0.755336320688845,0.894180569180987,1.04720358272171,0.835187350729462,1.05617857414491,1,0,1,1
"8","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.81935022090997,0.898913524326108,0.763003272071761,0.635910278575046,0.978465326125796,0.715647724225862,0.762972676277184,0.995056008747885,1.01517691321174,0.00364413791583629,0.00261993376601441,0.00137930638756063,0.00111786048894851,0.00203258448902239,0.00209633860053341,0.00292943309355092,0.890100307181485,1.06683034507011,0.798590358728521,0.999236689923696,0.697441211664034,0.828504140890335,0.922263540604176,1.06784847689159,0.909093407556128,1.12126041886736,1,0,1,1
"9","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.873506485390386,0.910148431533183,0.682865718272296,0.625938668923156,1.00907845019285,0.667687376458466,0.682903098340609,1.00915481773939,1.05750542034544,0.00445996145781386,0.00332220639510375,0.00126699042144507,0.00112321377922369,0.0020231360687175,0.0021103740036105,0.00288440851492299,0.920919051819302,1.09723784856639,0.797176806390271,1.02312005667609,0.617214910252751,0.748591286428466,0.939388992272883,1.0789206432059,0.952240308599297,1.16277053209159,1,1,1,1
"10","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.686377047401989,0.882995893834801,0.741148977817507,0.479440797831604,0.949552886242727,0.685533403519899,0.741516834842009,0.978821690771855,0.894498421212252,0.00450202026786811,0.00294323840658343,0.00193877277837812,0.00109748057385,0.00237223549868924,0.00204254010829149,0.00314412769839518,0.854089909692839,1.04501586279262,0.776662716214969,0.989329071454634,0.676585475911966,0.806448193772053,0.892519955531958,1.06512342601175,0.784596278529978,1.00440056389453,1,0,1,1
