"","n","rho","sig1","sig2","sig3","sig4","sig5","sig6","sig7","sig8","sig9","sig_y","basemu1","basemu2","basemu3","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau","gammas1","gammas2","gammas3","etas1","etas2","etas3","sens","spec","outcome_model","error_systematic","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle","tau1cvgen","var1hat","var1tilde","var1oracle","var1naive","var1mime","var1mimeunc","var1cvgen","cilowmime","cihimime","cilowtilde","cihitilde","cilownaive","cihinaive","ciloworacle","cihioracle","cilowcvgen","cihicvgen","cicovmime","cicovtilde","cicovoracle","cicovcvgen"
"1","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.829767454095024,0.913244327241842,0.709340958013184,0.585703013416987,0.94073837335131,0.675527650747574,0.709322074471739,0.95644905247977,1.01796314313231,0.00387228038648953,0.00268244971451121,0.00153515707574563,0.00109153709720403,0.00164017080103142,0.00186634899802149,0.00330560412274027,0.86136028979393,1.02011645690869,0.811731279689981,1.0147573747937,0.644566774205128,0.774077374738351,0.879654134534736,1.0332439704248,0.905274151665001,1.13065213459962,1,1,1,1
"2","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.805584016849689,0.935215169464121,0.763567769992539,0.588231295028287,0.991216816313036,0.706490738534555,0.763579652877133,0.992347419253187,1.02901188025833,0.00496211371375243,0.0038899064805862,0.00133354718531753,0.001119008240618,0.00279680996292173,0.00254872067749136,0.00350503861193645,0.887562462069907,1.09487117055617,0.812971704461611,1.05745863446663,0.698014555018912,0.829144750735354,0.920772599189733,1.06392223931664,0.912973281802403,1.14505047871425,1,1,1,1
"3","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.82471538183618,0.886547680430856,0.733369777114356,0.646859111765211,0.923079332108419,0.692562325855538,0.733407105527497,1.00548822125306,0.980944222981034,0.00349913424574045,0.00222798791317893,0.00115960371861978,0.00106266396008809,0.0022684377023368,0.00168438237446663,0.00283458360715463,0.829728219221121,1.01643044499572,0.794032609403114,0.979062751458598,0.669513992682102,0.797300218372892,0.938744430190143,1.07223201231597,0.876592239841061,1.08529620612101,1,0,1,1
"4","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.759239495070315,0.8067880864388,0.688716970957643,0.627111865207604,0.912562735751987,0.638994752842236,0.688607599579884,0.965067381940949,0.962897718549576,0.00556154392445566,0.00401919221172382,0.00137617202627589,0.0011132956244649,0.00343911043430328,0.00246402432784362,0.00307624951015266,0.797620634481741,1.02750483702223,0.682529771624224,0.931046401253376,0.623210073090388,0.754005126069381,0.892357668311053,1.03777709557084,0.854188380780448,1.0716070563187,1,0,1,1
"5","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.834388849215397,1.03526591499844,0.776261775229144,0.535477943946277,1.0596387855776,0.731001031778799,0.776126577076734,1.05007586553547,1.05821981695973,0.00497481565385003,0.00333737916830276,0.0015200911976766,0.0010668213854655,0.00256235706399053,0.00260585882074787,0.00359896328100735,0.960424114802429,1.15885345635278,0.92203660866412,1.14849522133276,0.71210860276948,0.840144551383988,0.97365870551892,1.12649302555201,0.940636751255869,1.17580288266359,1,1,1,1
"6","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.738049112682477,0.884335499448991,0.701925069283991,0.494812205178419,0.931284374980505,0.644823483896357,0.701744294681787,0.967467136498716,0.923852971150461,0.00343624279265659,0.00220156286283843,0.0011258798660477,0.00103309710314819,0.00200944884163356,0.00164345188903964,0.00273378500742669,0.843423697370897,1.01914505259011,0.792370702412951,0.976300296485032,0.638746311924765,0.76474227743881,0.901701035098307,1.03323323789912,0.821373175656274,1.02633276664465,1,0,1,1
"7","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.801480178878774,0.886571929056453,0.732935121005671,0.611030648562162,0.97047611195883,0.696930668885916,0.729986237387293,1.01784386259836,0.998578534059817,0.00443098089238491,0.00302558934179333,0.00147547656065697,0.00120068311977385,0.00247569254121272,0.00235659931512636,0.00331569617141753,0.872953701886464,1.0679985220312,0.778761428568637,0.994382429544268,0.66207052291028,0.797901951864307,0.942556474840389,1.09313125035634,0.885717653272373,1.11143941484726,1,0,1,1
"8","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.762413331736463,0.879424641397224,0.711948033629707,0.554218426773535,0.929737171845292,0.678149833532431,0.712044972120895,1.00584306431347,0.976130260011963,0.00411803315688132,0.00270498117557951,0.00123231631853974,0.00111359818493504,0.00247948291109675,0.00208347119890153,0.00329090432324372,0.83214013525468,1.0273342084359,0.777486151688448,0.981363131106,0.64663855968873,0.77745138455306,0.937038512361568,1.07464761626538,0.863692107909694,1.08856841211423,1,0,1,1
"9","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.908297323605696,0.944967894231471,0.779136208746673,0.737236463908211,0.981246608288188,0.734464800545783,0.779067678504233,1.05513808181401,1.06999068113429,0.00564628638718701,0.00348498467464277,0.00164486334519252,0.00113306759379834,0.00299773657303148,0.00237343201647354,0.00363701944327551,0.873933492505644,1.08855972407073,0.829261727040142,1.0606740614228,0.713091982461404,0.845043374547061,0.975646528634496,1.13462963499352,0.95178757671953,1.18819378554905,1,1,1,1
"10","5000","0.3","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","0.2","0.4","-0.6","0.1","-0.2","0.6","0.8","0.95","normal","TRUE",0.75617128419878,0.906047352871367,0.724830448396367,0.5180097984644,0.959655903147076,0.685752783516792,0.724690298774444,1.00210884603986,0.953623054996455,0.00435314094085849,0.00309175127261462,0.00117964784068179,0.00106816398760554,0.00195021039856876,0.00209031744236003,0.00328131883621013,0.873099977485445,1.04621182880871,0.797064456557879,1.01503024918485,0.660632053600341,0.788748543948547,0.934790682482293,1.06942700959742,0.841348772806878,1.06589733718603,1,1,1,1
