"","n11","n22","sig13","sig23","sig_y3","basemu3","shift3","alphas3","betas3","tau3","gammas3","outcome_model4","n14","n24","sig14","sig24","sig_y4","basemu4","shift4","alphas4","betas5","tau5","gammas6","outcome_model6","n16","n27","sig18","sig28","sig_y8","basemu8","shift9","alphas9","betas9","tau9","gammas10","outcome_model10","n111","n211","sig111","sig212","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1rcal","tau1naive","tau1oracle"
"1","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.14256929678414,0.875042067102205,1.51365695577125,1.19867876727558,1.18557940782897,1.05403426331791,1.49767963458794,1.0683764879969
"2","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.681360823110719,0.870134995965078,0.775523646421482,1.05540690558027,0.964537813570119,1.00758858184773,0.780628555248926,0.890822547235233
"3","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.891671502369211,0.694691261726556,1.26845715538758,1.1185488145694,1.02830268587842,0.969053238827003,1.2775470820576,0.924599033892623
"4","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.877339829090338,0.926097510484945,1.00320781668874,1.09931652812071,1.06462745854863,0.999263449242901,1.01402096736576,0.942787880809122
"5","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.670178145644511,0.646554070998636,1.13082509548672,0.965606276248871,0.926658453665621,0.835112821482137,1.14069784277591,0.958499023729871
"6","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.00072161884545,0.980134928078354,1.08964664205886,1.07320665366844,0.981620688260894,1.00546791918218,1.09422152926641,1.03181827592533
"7","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.950172789571124,0.913838980698734,1.16986249897741,1.11274410151004,0.924935743028275,0.888279932454176,1.17367061967767,1.03762982029688
"8","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",0.948888151302003,1.10707026590387,0.970749127429584,1.16324526301011,1.16483880187432,1.19425555860067,0.964264696283578,1.02437675459511
"9","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.21947325854277,1.195137344823,1.15904234869401,1.11701413275364,1.17884669914624,1.09204555398136,1.15208181783842,1.05741005812226
"10","150","1500","1","0.25","0","0.25","1","0","0","0","1","1","0.25","0","0.25","1","0","0","0","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","normal",1.17777066123541,1.05286603005489,1.38227227871417,1.13081163498483,0.997065562762692,0.889441084485621,1.36808551172652,1.01227623613358
