"","n1","n2","sig11","sig12","sig13","sig14","sig15","sig16","sig17","sig18","sig19","sig21","sig22","sig23","sig24","sig25","sig26","sig27","sig28","sig29","sig_y1","sig_y2","basemu1","basemu2","basemu3","shift","alphas1","alphas2","alphas3","alphas4","betas1","betas2","betas3","betas4","tau1","tau2","gammas1","gammas2","gammas3","sens","spec","outcome_model","tau1hat","tau1tilde","psi1","psi2","tau1mime","tau1mimeunc","tau1naive","tau1oracle"
"1","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.26668699112809,1.3261454752101,0.585735166921481,0.696953013468987,1.25404496076127,0.537758301110977,0.585820593199919,1.03297332382051
"2","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.00034690063266,0.917761450634231,0.812536935975371,0.687497523138548,0.968132693951767,0.586990318095019,0.811720847954565,0.949853588958962
"3","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.944503159341768,0.983777522560451,0.659315491267201,0.715771076689581,1.01281287184213,0.576354061032297,0.658069062733967,0.996007174933608
"4","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.11742253286489,1.08686257569024,0.795916381522971,0.74399494523377,1.03886881581119,0.614495956897462,0.796468337523602,1.05066297342719
"5","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.973797798971384,0.989868231177334,0.696098868580346,0.72212828090628,1.01707275270724,0.598667112233433,0.69615035127462,0.977212522112613
"6","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",0.988877946905698,1.11645681845627,0.567731238761844,0.741373677335521,1.07423897245204,0.606334538493932,0.564048016916342,1.08349441459445
"7","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.05907008888257,1.0490197880871,0.652285890499825,0.694053000314263,0.941925824440475,0.544743757727759,0.651837507074919,1.00554226345828
"8","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.09561295050268,1.18274706302605,0.676757888362474,0.782253190461479,1.01108415271925,0.67073577043277,0.677377790619041,1.01578668887299
"9","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.0180347423003,0.949351679881508,0.802829740772583,0.657100784512166,1.02981139812129,0.594854975789104,0.80554664589915,0.938344099560988
"10","300","3000","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","0.25","0.5","0.25","1","-0.4","0.5","-0.4","1","1","1","1","1","1","0","0.1","-0.5","0.3","0.85","0","1","-3","0.5","1","1","0.2","0.4","-0.6","0.8","0.95","normal",1.07105947904626,1.10884125328546,0.678296033585566,0.746110074922981,1.1311965471605,0.623323727673338,0.679242344078615,1.0416668773377
